FECHA,Diseño de la Mezcla,Zona,Volumen (m3),TURNO,Humedad arena (%),Arena (kg),Grava (kg),Cemento (kg),Agua (kg),RHEO 1000 (kg),BASF 719 (kg),Delvo (litros),MasterGlenium 7950,MasterGlenium 7970,Sika PP 48 (kg)-BARCHIP
1/1/2023,Shotcrete-35MPa-Development,ZONA_QJ3408,5.5,DIA,0.047,8750,0,2822,890,47.3,16.5,5.5,0,0,22
1/1/2023,Shotcrete-35MPa-Development,ZONA_QJ3408,5,DIA,0.047,7950,0,2565,810,43,15,5,0,0,20
1/1/2023,Shotcrete-35MPa-Development,ZONA_MQ2351,6,DIA,0.047,9540,0,3080,960,51.6,18,6,0,0,24
1/1/2023,Shotcrete-35MPa-Development,ZONA_LD2830,6,DIA,0.047,9545,0,3080,1000,51.6,18,6,0,0,24
1/1/2023,Shotcrete-35MPa-Development,ZONA_KG8844,6,NOCHE,0.047,9540,0,3080,950,51.6,18,6,0,0,24
1/1/2023,Shotcrete-35MPa-Development,ZONA_KZ9739,6,NOCHE,0.047,9540,0,3080,950,51.6,18,6,0,0,24
1/1/2023,DIS_BI322,ZONA_IL2802,6,NOCHE,0.047,6200,5040,2160,700,13,13,0,0,0,0
1/1/2023,Shotcrete-35MPa-Development,ZONA_WT5710,6,NOCHE,0.047,9540,0,3080,950,51.6,18,6,0,0,24
1/1/2023,Shotcrete-35MPa-Development,ZONA_WT5710,6,NOCHE,0.047,9540,0,3080,950,51.6,18,6,0,0,24
1/2/2023,Shotcrete-35MPa-Development,ZONA_ZN2647,6,DIA,0.055,9615,0,3080,930,51.6,18,6,0,0,24
1/2/2023,Concrete-28 Mpa ,ZONA_BC1429,6,DIA,0.055,6130,4925,2340,840,16.4,14,0,0,0,0
1/2/2023,Concrete-28 Mpa ,ZONA_BC1429,6,DIA,0.055,6135,4910,2340,870,16.4,14,0,0,0,0
1/2/2023,Shotcrete-35MPa-Development,MINA-KISA 1220 C 131 BARRICADA,6,DIA,0.055,9610,0,3080,940,51.6,18,6,0,0,24
1/2/2023,DIS_BI322,MINA-KURI 1155 BODEGA # 1,6,DIA,0.055,6250,5030,2160,900,13,13,0,0,0,0
1/2/2023,Concrete-28 Mpa ,ZONA_BC1429,6,DIA,0.055,6130,4920,2340,900,16.4,14,0,0,0,0
1/2/2023,Concrete-28 Mpa ,ZONA_BC1429,2.5,DIA,0.055,2550,2050,975,380,6.8,5.9,0,0,0,0
1/2/2023,Shotcrete-35MPa-Development,MINA-KISA 1220 C 131 ,6,DIA,0.055,9610,0,3080,940,51.6,18,6,0,0,24
1/2/2023,Shotcrete-35MPa-Development,MINA-KISA 1170 CÁMARA ELÉCTRICA,6,DIA,0.055,9620,0,3080,940,51.6,18,6,0,0,24
1/2/2023,Shotcrete-35MPa-Development,ZONA_CF5926,6,NOCHE,0.05,9570,0,3080,920,51.6,18,6,0,0,24
1/2/2023,Shotcrete-35MPa-Development,ZONA_US6119,6,NOCHE,0.05,9570,0,3080,920,51.6,18,6,0,0,24
1/2/2023,Shotcrete-35MPa-Development,ZONA_CF5926,6,NOCHE,0.05,9570,0,3080,920,51.6,18,6,0,0,24
1/2/2023,Shotcrete-35MPa-Development,ZONA_CN0862,6,NOCHE,0.05,9570,0,3080,920,51.6,18,6,0,0,24
1/3/2023,Shotcrete-35MPa-Development,MINA-KISA 1195 C134 TA,6,DIA,0.049,9570,0,3080,940,51.6,18,6,0,0,24
1/3/2023,Shotcrete-35MPa-Development,MINA-KISA 1195 C134 TA,6,DIA,0.049,9560,0,3080,940,51.6,18,6,0,0,24
1/3/2023,Shotcrete-35MPa-Development,ZONA_KZ9739,6,DIA,0.049,9565,0,3080,965,51.6,18,6,0,0,24
1/3/2023,DIS_BI322,MINA-KURI 1155 BODEGA # 1,6,DIA,0.049,6210,5030,2160,900,13,13,0,0,0,0
1/3/2023,Shotcrete-35MPa-Development,ZONA_ZN2647,6,NOCHE,0.047,9540,0,3080,950,51.6,18,6,0,0,24
1/3/2023,DIS_BI322,MINA-KURI 1155 BODEGA # 2,3,NOCHE,0.047,3100,2520,1080,380,6.5,6.5,0,0,0,0
1/3/2023,Shotcrete-35MPa-Development,ZONA_KZ9739,3,NOCHE,0.047,4770,0,1540,480,25.8,9,3,0,0,12
1/3/2023,Shotcrete-35MPa-Development,ZONA_IN2443,3,NOCHE,0.047,4770,0,1540,480,25.8,9,3,0,0,12
