FECHA,Diseño de la Mezcla,Zona,Volumen (m3),TURNO,Humedad arena (%),Arena (kg),Grava (kg),Cemento (kg),Agua (kg),RHEO 1000 (kg),BASF 719 (kg),Delvo (litros),MasterGlenium 7950,MasterGlenium 7970,Sika PP 48 (kg)-BARCHIP
1/1/2023,Shotcrete-35MPa-Development,ZONA_WT5710,6.0,NOCHE,0.047,9540.0,0.0,3080.0,950.0,51.6,18.0,6.0,0.0,0.0,24.0
1/2/2023,Concrete-28 Mpa ,ZONA_BC1429,2.5,DIA,0.055,2550.0,2050.0,975.0,380.0,6.8,5.9,0.0,0.0,0.0,0.0
1/2/2023,Shotcrete-35MPa-Development,ZONA_CF5926,6.0,NOCHE,0.05,9570.0,0.0,3080.0,920.0,51.6,18.0,6.0,0.0,0.0,24.0
1/3/2023,DIS_BI322,MINA-KURI 1155 BODEGA # 2,3.0,NOCHE,0.047,3100.0,2520.0,1080.0,380.0,6.5,6.5,0.0,0.0,0.0,0.0
1/3/2023,Shotcrete-35MPa-Development,ZONA_KZ9739,3.0,NOCHE,0.047,4770.0,0.0,1540.0,480.0,25.8,9.0,3.0,0.0,0.0,12.0
1/3/2023,Shotcrete-35MPa-Development,ZONA_IN2443,3.0,NOCHE,0.047,4770.0,0.0,1540.0,480.0,25.8,9.0,3.0,0.0,0.0,12.0
1/4/2023,Shotcrete-35MPa-Development,ZONA_FO8784,2.0,NOCHE,0.047,3200.0,0.0,1026.0,320.0,17.2,6.0,2.0,0.0,0.0,8.0
1/5/2023,Concrete-21 Mpa ,ZONA_BC1429,5.0,DIA,0.05,5450.0,4040.0,1600.0,680.0,9.6,9.6,0.0,0.0,0.0,0.0
1/5/2023,Concrete-21 Mpa ,CONTROL DE EROSIÓN,1.0,DIA,0.05,1060.0,800.0,320.0,130.0,1.9,1.9,0.0,0.0,0.0,0.0
1/5/2023,Shotcrete-35MPa-Development,ZONA_IN2443,2.0,NOCHE,0.05,3200.0,0.0,1026.0,310.0,17.2,6.0,2.0,0.0,0.0,8.0
1/6/2023,Concrete-21 Mpa ,ZONA_BC1429,1.0,DIA,0.046,1060.0,800.0,320.0,140.0,1.9,1.9,0.0,0.0,0.0,0.0
1/6/2023,Shotcrete-35MPa-Development,ZONA_AW8918,3.0,DIA,0.046,4765.0,0.0,1540.0,475.0,25.8,9.0,3.0,0.0,0.0,12.0
1/6/2023,Shotcrete-35MPa-Development,ZONA_KZ9739,6.0,DIA,0.046,9540.0,0.0,3080.0,940.0,1.6,18.0,6.0,0.0,0.0,24.0
1/8/2023,Shotcrete-35MPa-Development,ZONA_ZN2647,3.0,DIA,0.049,4780.0,0.0,1540.0,470.0,25.8,9.0,3.0,0.0,0.0,12.0
1/8/2023,Shotcrete-35MPa-Development,ZONA_ZN2647,3.0,DIA,0.049,4775.0,0.0,1540.0,470.0,25.8,9.0,3.0,0.0,0.0,12.0
1/8/2023,Concrete-28 Mpa ,ZONA_OF3711,3.0,DIA,0.049,3050.0,2470.0,1170.0,420.0,8.2,7.0,0.0,0.0,0.0,0.0
1/8/2023,Shotcrete-35MPa-Development,ZONA_KX7900,6.0,DIA,0.049,9570.0,0.0,3080.0,940.0,51.6,18.0,6.0,0.0,0.0,24.0
1/8/2023,Shotcrete-35MPa-Development,ZONA_KZ9739,3.0,NOCHE,0.049,4780.0,0.0,1540.0,470.0,25.8,9.0,3.0,0.0,0.0,12.0
1/9/2023,Shotcrete-35MPa-Development,MINA-KISA 1195 C 126,3.0,DIA,0.048,477.0,0.0,1540.0,470.0,25.8,9.0,3.0,0.0,0.0,12.0
1/9/2023,Shotcrete-35MPa-Development,MINA-KISA 1170 C 128,3.0,DIA,0.048,4780.0,0.0,1540.0,470.0,25.8,9.0,3.0,0.0,0.0,12.0
1/9/2023,Shotcrete-35MPa-Development,ZONA_QJ3408,3.0,NOCHE,0.045,4760.0,0.0,1540.0,490.0,25.8,9.0,3.0,0.0,0.0,12.0
1/10/2023,Shotcrete-35MPa-Development,ZONA_KZ9739,3.0,DIA,0.041,4750.0,0.0,1540.0,505.0,25.8,9.0,3.0,0.0,0.0,12.0
1/10/2023,Shotcrete-35MPa-Development,ZONA_ZN2647,3.0,DIA,0.041,4750.0,0.0,1540.0,505.0,25.8,9.0,3.0,0.0,0.0,12.0
1/11/2023,Shotcrete-35MPa-Development,ZONA_MW3299,6.0,DIA,0.066,9720.0,0.0,3080.0,770.0,51.6,18.0,6.0,0.0,0.0,24.0
1/12/2023,Shotcrete-35MPa-Development,ZONA_QJ3408,3.0,DIA,0.055,4810.0,0.0,1540.0,430.0,25.8,9.0,3.0,0.0,0.0,12.0
