FECHA,Arena (kg),Grava (kg),Cemento (kg),Agua (kg),RHEO 1000 (kg),BASF 719 (kg),Delvo (litros),MasterGlenium 7950,MasterGlenium 7970,Sika PP 48 (kg)-BARCHIP
1/1/2023,8750,0,2822,890,47.3,16.5,5.5,0,0,22
1/1/2023,7950,0,2565,810,43,15,5,0,0,20
1/1/2023,9540,0,3080,960,51.6,18,6,0,0,24
1/1/2023,9545,0,3080,1000,51.6,18,6,0,0,24
1/1/2023,9540,0,3080,950,51.6,18,6,0,0,24
1/1/2023,9540,0,3080,950,51.6,18,6,0,0,24
1/1/2023,6200,5040,2160,700,13,13,0,0,0,0
1/1/2023,9540,0,3080,950,51.6,18,6,0,0,24
1/1/2023,9540,0,3080,950,51.6,18,6,0,0,24
1/2/2023,9615,0,3080,930,51.6,18,6,0,0,24
1/2/2023,6130,4925,2340,840,16.4,14,0,0,0,0
1/2/2023,6135,4910,2340,870,16.4,14,0,0,0,0
1/2/2023,9610,0,3080,940,51.6,18,6,0,0,24
1/2/2023,6250,5030,2160,900,13,13,0,0,0,0
1/2/2023,6130,4920,2340,900,16.4,14,0,0,0,0
1/2/2023,2550,2050,975,380,6.8,5.9,0,0,0,0
1/2/2023,9610,0,3080,940,51.6,18,6,0,0,24
1/2/2023,9620,0,3080,940,51.6,18,6,0,0,24
1/2/2023,9570,0,3080,920,51.6,18,6,0,0,24
1/2/2023,9570,0,3080,920,51.6,18,6,0,0,24
1/2/2023,9570,0,3080,920,51.6,18,6,0,0,24
1/2/2023,9570,0,3080,920,51.6,18,6,0,0,24
1/3/2023,9570,0,3080,940,51.6,18,6,0,0,24
1/3/2023,9560,0,3080,940,51.6,18,6,0,0,24
1/3/2023,9565,0,3080,965,51.6,18,6,0,0,24
1/3/2023,6210,5030,2160,900,13,13,0,0,0,0
1/3/2023,9540,0,3080,950,51.6,18,6,0,0,24
1/3/2023,3100,2520,1080,380,6.5,6.5,0,0,0,0
1/3/2023,4770,0,1540,480,25.8,9,3,0,0,12
1/3/2023,4770,0,1540,480,25.8,9,3,0,0,12
1/4/2023,9545,0,3080,985,51.6,18,6,0,0,24
1/4/2023,9540,0,3080,990,51.6,18,6,0,0,24
1/4/2023,9540,0,3080,950,51.6,18,6,0,0,24
1/4/2023,9540,0,3080,950,51.6,18,6,0,0,24
1/4/2023,3200,0,1026,320,17.2,6,2,0,0,8
1/5/2023,9575,0,3080,990,51.6,18,6,0,0,24
1/5/2023,9570,0,3080,990,51.6,18,6,0,0,24
1/5/2023,6540,4880,1920,820,11.5,11.5,0,0,0,0
1/5/2023,6545,4870,1920,820,11.5,11.5,0,0,0,0
1/5/2023,5450,4040,1600,680,9.6,9.6,0,0,0,0
1/5/2023,1060,800,320,130,1.9,1.9,0,0,0,0
1/5/2023,9570,0,3080,920,51.6,18,6,0,0,24
1/5/2023,3200,0,1026,310,17.2,6,2,0,0,8
1/5/2023,6380,0,2054,620,34.4,12,4,0,0,16
1/5/2023,9570,0,3080,920,51.6,18,6,0,0,24
1/6/2023,9535,0,3080,950,51.6,18,6,0,0,24
1/6/2023,7600,5690,2240,925,13.4,13.4,0,0,0,0
1/6/2023,9530,0,3080,945,51.6,18,6,0,0,24
1/6/2023,1060,800,320,140,1.9,1.9,0,0,0,0
1/6/2023,4765,0,1540,475,25.8,9,3,0,0,12
1/6/2023,9530,0,3080,940,51.6,18,6,0,0,24
1/6/2023,9540,0,3080,940,1.6,18,6,0,0,24
1/6/2023,9530,0,3080,960,51.6,18,6,0,0,24
1/6/2023,8730,0,2825,860,47.3,16.5,5.5,0,0,22
1/6/2023,9530,0,3080,960,51.6,18,6,0,0,24
1/7/2023,9550,0,3080,960,51.6,18,6,0,0,24
1/7/2023,9545,0,3080,950,51.6,18,6,0,0,24
1/7/2023,9555,0,3080,945,51.6,18,6,0,0,24
1/7/2023,9550,0,3080,945,51.6,18,6,0,0,24
1/7/2023,8000,0,2565,750,43,15,5,0,0,20
1/7/2023,8800,0,2825,820,47.3,16.5,5.5,0,0,22
1/7/2023,9600,0,3080,900,51.6,18,6,0,0,24
1/8/2023,4780,0,1540,470,25.8,9,3,0,0,12
1/8/2023,4775,0,1540,470,25.8,9,3,0,0,12
1/8/2023,9565,0,3080,940,51.6,18,6,0,0,24
1/8/2023,3050,2470,1170,420,8.2,7,0,0,0,0
1/8/2023,9570,0,3080,940,51.6,18,6,0,0,24
1/8/2023,9570,0,3080,940,51.6,18,6,0,0,24
1/8/2023,9560,0,3080,940,51.6,18,6,0,0,24
1/8/2023,4780,0,1540,470,25.8,9,3,0,0,12
1/8/2023,6210,5040,2160,700,13,13,0,0,0,0
1/8/2023,9560,0,3080,940,51.6,18,6,0,0,24
1/9/2023,9550,0,3080,955,51.6,18,6,0,0,24
1/9/2023,9560,0,3080,955,51.6,18,6,0,0,24
1/9/2023,9560,0,3080,945,51.6,18,6,0,0,24
1/9/2023,477,0,1540,470,25.8,9,3,0,0,12
1/9/2023,4780,0,1540,470,25.8,9,3,0,0,12
1/9/2023,6200,5040,2160,700,13,13,0,0,0,0
1/9/2023,6200,5040,2160,710,13,13,0,0,0,0
1/9/2023,6180,5040,2160,740,13,13,0,0,0,0
1/9/2023,9520,0,3080,970,51.6,18,6,0,0,24
1/9/2023,4760,0,1540,490,25.8,9,3,0,0,12
1/10/2023,9490,0,3080,945,51.6,18,6,0,0,24
1/10/2023,9500,0,3080,945,51.6,18,6,0,0,24
1/10/2023,9520,0,3080,970,51.6,18,6,0,0,24
1/10/2023,4750,0,1540,505,25.8,9,3,0,0,12
1/10/2023,4750,0,1540,505,25.8,9,3,0,0,12
1/10/2023,9483,0,3080,980,51.6,18,6,0,0,24
1/10/2023,9485,0,3080,970,51.6,18,6,0,0,24
1/10/2023,9480,0,3080,970,51.6,18,6,0,0,24
1/10/2023,9570,0,3080,910,51.6,18,6,0,0,24
1/11/2023,9720,0,3080,770,51.6,18,6,0,0,24
1/11/2023,9720,0,3080,770,51.6,18,6,0,0,24
1/11/2023,9720,0,3080,770,51.6,18,6,0,0,24
1/11/2023,9720,0,3080,770,51.6,18,6,0,0,24
