Date,FECHA,Diseño de la Mezcla,Zona,Volumen (m3),TURNO,Humedad arena (%),Arena (kg),Grava (kg),Cemento (kg),Agua (kg),RHEO 1000 (kg),BASF 719 (kg),Delvo (litros),MasterGlenium 7950,MasterGlenium 7970,Sika PP 48 (kg)-BARCHIP
2023-01-01,1/1/20231/1/20231/1/20231/1/20231/1/20231/1/20231/1/20231/1/20231/1/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_QJ3408ZONA_QJ3408ZONA_MQ2351ZONA_LD2830ZONA_KG8844ZONA_KZ9739ZONA_IL2802ZONA_WT5710ZONA_WT5710,52.5,DIADIADIADIANOCHENOCHENOCHENOCHENOCHE,0.423,80145.0,5040.0,26027.0,8160.0,412.9,152.5,46.5,0.0,0.0,186.0
2023-01-02,1/2/20231/2/20231/2/20231/2/20231/2/20231/2/20231/2/20231/2/20231/2/20231/2/20231/2/20231/2/20231/2/2023,Shotcrete-35MPa-DevelopmentConcrete-28 Mpa Concrete-28 Mpa Shotcrete-35MPa-DevelopmentDIS_BI322Concrete-28 Mpa Concrete-28 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_ZN2647ZONA_BC1429ZONA_BC1429MINA-KISA 1220 C 131 BARRICADAMINA-KURI 1155 BODEGA # 1ZONA_BC1429ZONA_BC1429MINA-KISA 1220 C 131 MINA-KISA 1170 CÁMARA ELÉCTRICAZONA_CF5926ZONA_US6119ZONA_CF5926ZONA_CN0862,74.5,DIADIADIADIADIADIADIADIADIANOCHENOCHENOCHENOCHE,0.6950000000000001,103930.0,21835.0,34795.0,11320.0,481.8,204.9,48.0,0.0,0.0,192.0
2023-01-03,1/3/20231/3/20231/3/20231/3/20231/3/20231/3/20231/3/20231/3/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,MINA-KISA 1195 C134 TAMINA-KISA 1195 C134 TAZONA_KZ9739MINA-KURI 1155 BODEGA # 1ZONA_ZN2647MINA-KURI 1155 BODEGA # 2ZONA_KZ9739ZONA_IN2443,39.0,DIADIADIADIANOCHENOCHENOCHENOCHE,0.384,57085.0,7550.0,18640.0,6035.0,277.5,109.5,30.0,0.0,0.0,120.0
2023-01-04,1/4/20231/4/20231/4/20231/4/20231/4/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_ZL4203ZONA_QJ3408ZONA_DF6146ZONA_TW5502ZONA_FO8784,26.0,DIADIANOCHENOCHENOCHE,0.235,41365.0,0.0,13346.0,4195.0,223.6,78.0,26.0,0.0,0.0,104.0
2023-01-05,1/5/20231/5/20231/5/20231/5/20231/5/20231/5/20231/5/20231/5/20231/5/20231/5/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentConcrete-21 Mpa Concrete-21 Mpa Concrete-21 Mpa Concrete-21 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_CV6479ZONA_CV6479ZONA_BC1429ZONA_BC1429ZONA_BC1429CONTROL DE EROSIÓNZONA_BP8104ZONA_IN2443ZONA_BP8104ZONA_LN9540,48.0,DIADIADIADIADIADIANOCHENOCHENOCHENOCHE,0.5,67460.0,14590.0,21160.0,7200.0,292.5,124.5,30.0,0.0,0.0,120.0
2023-01-06,1/6/20231/6/20231/6/20231/6/20231/6/20231/6/20231/6/20231/6/20231/6/20231/6/2023,Shotcrete-35MPa-DevelopmentConcrete-21 Mpa Shotcrete-35MPa-DevelopmentConcrete-21 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_FO8784ZONA_BC1429ZONA_FO8784ZONA_BC1429ZONA_AW8918ZONA_KZ9739ZONA_KZ9739ZONA_QJ3408ZONA_ZN2647ZONA_WT5710,52.5,DIADIADIADIADIADIADIANOCHENOCHENOCHE,0.45999999999999996,79350.0,6490.0,25405.0,8095.0,348.0,148.8,44.5,0.0,0.0,178.0
2023-01-07,1/7/20231/7/20231/7/20231/7/20231/7/20231/7/20231/7/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_KC1690ZONA_KC1690ZONA_KC1690ZONA_BP8104ZONA_BP8104ZONA_MW3299ZONA_ZN2647,40.5,DIADIADIADIANOCHENOCHENOCHE,0.3498,64600.0,0.0,20790.0,6270.0,348.3,121.5,40.5,0.0,0.0,162.0
2023-01-08,1/8/20231/8/20231/8/20231/8/20231/8/20231/8/20231/8/20231/8/20231/8/20231/8/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentConcrete-28 Mpa Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322Shotcrete-35MPa-Development,ZONA_ZN2647ZONA_ZN2647ZONA_ZN2647ZONA_OF3711ZONA_KX7900ZONA_KX7900ZONA_KZ9739ZONA_KZ9739ZONA_TJ1679ZONA_PN2729,48.0,DIADIADIADIADIADIANOCHENOCHENOCHENOCHE,0.49,71420.0,7510.0,23350.0,7230.0,356.6,137.0,39.0,0.0,0.0,156.0
2023-01-09,1/9/20231/9/20231/9/20231/9/20231/9/20231/9/20231/9/20231/9/20231/9/20231/9/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentDIS_BI322DIS_BI322DIS_BI322Shotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,ZONA_PN2729ZONA_PN2729ZONA_MW3299MINA-KISA 1195 C 126MINA-KISA 1170 C 128ZONA_JX8981ZONA_EV5465ZONA_EV5465ZONA_QJ3408ZONA_QJ3408,51.0,DIADIADIADIADIANOCHENOCHENOCHENOCHENOCHE,0.471,66787.0,15120.0,23420.0,7405.0,322.8,138.0,33.0,0.0,0.0,132.0
2023-01-10,1/10/20231/10/20231/10/20231/10/20231/10/20231/10/20231/10/20231/10/20231/10/2023,Shotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-DevelopmentShotcrete-35MPa-Development,MINA-KISA 1195 C 123MINA-KISA 1195 C 123ZONA_KZ9739ZONA_KZ9739ZONA_ZN2647ZONA_ZN2647ZONA_YI8724ZONA_TU2502ZONA_DK3929,48.0,DIADIADIADIADIANOCHENOCHENOCHENOCHE,0.378,76028.0,0.0,24640.0,7700.0,412.8,144.0,48.0,0.0,0.0,192.0
